GRID_ID,CATEGORIA,ANO,MES,CRIMES,HISTORICO_1,PREVISAO_IA
6gtx7v,motorista,2023.0,4.0,1,0.0,1.09
6gtx7v,motorista,2023.0,5.0,1,1.0,1.61
6gtx7v,motorista,2024.0,1.0,1,1.0,2.33
6gtx7v,motorista,2024.0,6.0,1,1.0,1.57
6gtx7w,motorista,2024.0,6.0,1,0.0,1.07
6gtx7y,motorista,2023.0,3.0,1,0.0,1.17
6gtx7y,motorista,2023.0,4.0,2,1.0,1.6
6gtx7y,motorista,2023.0,5.0,1,2.0,2.21
6gtx7y,pedestre,2023.0,1.0,1,0.0,1.98
6gtxe9,motorista,2023.0,4.0,1,0.0,1.09
6gtxk7,motorista,2023.0,1.0,1,0.0,1.98
6gtxkh,motorista,2023.0,6.0,1,0.0,1.07
6gtxkj,motorista,2023.0,1.0,1,0.0,1.98
6gtxs3,motorista,2023.0,5.0,1,0.0,1.1
6gtxs3,pedestre,2024.0,3.0,1,0.0,1.17
6gtzut,motorista,2023.0,5.0,1,0.0,1.1
6gu9zg,motorista,2024.0,3.0,1,0.0,1.17
6gufcm,motorista,2023.0,2.0,1,0.0,1.23
6gufcm,motorista,2023.0,3.0,2,1.0,1.69
6gufcm,pedestre,2023.0,6.0,1,0.0,1.07
6gufcq,motorista,2023.0,4.0,1,0.0,1.09
6gufcq,motorista,2024.0,6.0,1,1.0,1.57
6gufed,pedestre,2023.0,4.0,1,0.0,1.09
6gufeg,motorista,2023.0,9.0,1,0.0,0.99
6gufpm,motorista,2023.0,4.0,1,0.0,1.09
6gufpm,motorista,2024.0,6.0,1,1.0,1.57
6gufrm,motorista,2024.0,1.0,1,0.0,1.98
6gufrm,motorista,2024.0,4.0,2,1.0,1.6
6gughr,motorista,2023.0,4.0,1,0.0,1.09
6guguv,motorista,2023.0,2.0,1,0.0,1.23
6guguv,motorista,2024.0,3.0,1,1.0,1.69
6gumy8,motorista,2024.0,1.0,1,0.0,1.98
6gumy8,motorista,2024.0,2.0,1,1.0,1.68
6gumye,pedestre,2023.0,6.0,1,0.0,1.07
6gun2n,motorista,2023.0,4.0,1,0.0,1.09
6gun8c,motorista,2024.0,1.0,1,0.0,1.98
6gun8f,motorista,2023.0,4.0,1,0.0,1.09
6gun8f,motorista,2023.0,6.0,1,1.0,1.57
6gun8f,motorista,2024.0,1.0,1,1.0,2.33
6gun8f,motorista,2024.0,2.0,2,1.0,1.68
6gun91,motorista,2023.0,1.0,1,0.0,1.98
6gun94,motorista,2023.0,2.0,1,0.0,1.23
6gun95,motorista,2023.0,3.0,1,0.0,1.17
6gun95,motorista,2024.0,3.0,1,1.0,1.69
6gun95,motorista,2024.0,5.0,1,1.0,1.61
6gunt3,motorista,2023.0,1.0,1,0.0,1.98
6gunt6,motorista,2023.0,4.0,1,0.0,1.09
6gunt7,motorista,2023.0,2.0,1,0.0,1.23
6gunt7,motorista,2023.0,3.0,1,1.0,1.69
6gunt7,motorista,2023.0,5.0,1,1.0,1.61
6gunt7,motorista,2023.0,12.0,1,1.0,1.11
6gunt7,motorista,2024.0,4.0,2,1.0,1.6
6guntc,motorista,2023.0,4.0,1,0.0,1.09
6guntg,motorista,2024.0,5.0,1,0.0,1.1
6gunup,motorista,2024.0,3.0,1,0.0,1.17
6gunup,motorista,2024.0,4.0,1,1.0,1.6
6gunur,motorista,2023.0,2.0,1,0.0,1.23
6gunur,motorista,2023.0,4.0,1,1.0,1.6
6gunur,motorista,2023.0,5.0,1,1.0,1.61
6gunur,motorista,2024.0,5.0,1,1.0,1.61
6gunur,motorista,2024.0,6.0,1,1.0,1.57
6gunuz,motorista,2023.0,5.0,1,0.0,1.1
6gunyy,motorista,2024.0,3.0,1,0.0,1.17
6guph0,motorista,2023.0,5.0,1,0.0,1.1
6guph1,motorista,2023.0,2.0,1,0.0,1.23
6guph1,motorista,2023.0,5.0,1,1.0,1.61
6guph1,motorista,2024.0,1.0,1,1.0,2.33
6guph2,motorista,2023.0,1.0,1,0.0,1.98
6guph2,motorista,2023.0,2.0,1,1.0,1.68
6guph2,motorista,2024.0,1.0,1,1.0,2.33
6guph3,motorista,2023.0,1.0,1,0.0,1.98
6guph3,motorista,2023.0,2.0,1,1.0,1.68
6guph3,motorista,2023.0,3.0,2,1.0,1.69
6guph3,motorista,2024.0,6.0,1,2.0,2.17
6guph5,motorista,2023.0,1.0,2,0.0,1.98
6guph6,motorista,2023.0,5.0,2,0.0,1.1
6guph6,motorista,2024.0,2.0,1,2.0,2.23
6guph8,motorista,2024.0,2.0,1,0.0,1.23
6guph9,motorista,2023.0,4.0,2,0.0,1.09
6guph9,motorista,2024.0,2.0,1,2.0,2.23
